,year_film,year_award,category,nominee,film,imdb_title_id,title,original_title,year,date_published,genre,duration,country,language,director,writer,production_company,actors,description,avg_vote,votes,budget,usa_gross_income,worlwide_gross_income,metascore,reviews_from_users,reviews_from_critics
0,1959,1960,Best Performance by an Actor in a Supporting Role in any Motion Picture,Stephen Boyd,Ben-Hur,tt0052618,Ben-Hur,Ben-Hur,1959,21/10/1960,"Adventure, Drama, History",212,USA,English,William Wyler,"Lew Wallace, Karl Tunberg",Metro-Goldwyn-Mayer (MGM),"Charlton Heston, Jack Hawkins, Haya Harareet, Stephen Boyd, Hugh Griffith, Martha Scott, Cathy O'Donnell, Sam Jaffe, Finlay Currie, Frank Thring, Terence Longdon, George Relph, André Morell","After a Jewish prince is betrayed and sent into slavery by a Roman friend, he regains his freedom and comes back for revenge.",8.1,214854,"$15,000,000","$74,422,622","$74,427,638",90.0,445.0,128.0
1,1959,1960,Best Director - Motion Picture,William Wyler,Ben-Hur,tt0052618,Ben-Hur,Ben-Hur,1959,21/10/1960,"Adventure, Drama, History",212,USA,English,William Wyler,"Lew Wallace, Karl Tunberg",Metro-Goldwyn-Mayer (MGM),"Charlton Heston, Jack Hawkins, Haya Harareet, Stephen Boyd, Hugh Griffith, Martha Scott, Cathy O'Donnell, Sam Jaffe, Finlay Currie, Frank Thring, Terence Longdon, George Relph, André Morell","After a Jewish prince is betrayed and sent into slavery by a Roman friend, he regains his freedom and comes back for revenge.",8.1,214854,"$15,000,000","$74,422,622","$74,427,638",90.0,445.0,128.0
2,1960,1961,Best Performance by an Actress in a Supporting Role in any Motion Picture,Janet Leigh,Psycho,tt0155975,Psycho,Psycho,1998,23/04/1999,"Horror, Mystery, Thriller",105,USA,English,Gus Van Sant,"Robert Bloch, Joseph Stefano",Universal Pictures,"Vince Vaughn, Anne Heche, Julianne Moore, Viggo Mortensen, William H. Macy, Robert Forster, Philip Baker Hall, Anne Haney, Chad Everett, Rance Howard, Rita Wilson, James Remar, James Le Gros, Steven Clark Pachosa, O.B. Babbs","A young female embezzler arrives at the Bates Motel, which has terrible secrets of its own.",4.6,45127,"$60,000,000","$21,485,655","$37,170,655",47.0,629.0,134.0
3,1962,1963,New Star Of The Year - Actress,Sue Lyon,Lolita,tt0119558,Lolita,Lolita,1997,26/09/1997,"Drama, Romance",137,"France, USA",English,Adrian Lyne,"Vladimir Nabokov, Stephen Schiff",Guild,"Jeremy Irons, Melanie Griffith, Frank Langella, Dominique Swain, Suzanne Shepherd, Keith Reddin, Erin J. Dean, Joan Glover, Pat Pierre Perkins, Ed Grady, Michael Goodwin, Angela Paton, Ben Silverstone, Emma Griffiths Malin, Ronald Pickup",A man marries his landlady so he can take advantage of her daughter.,6.9,51001,"$62,000,000","$1,071,255","$1,071,255",46.0,235.0,65.0
4,1964,1965,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Rex Harrison,My Fair Lady,tt0058385,My Fair Lady,My Fair Lady,1964,23/03/1965,"Drama, Family, Musical",170,USA,English,George Cukor,"Alan Jay Lerner, George Bernard Shaw",Warner Bros.,"Audrey Hepburn, Rex Harrison, Stanley Holloway, Wilfrid Hyde-White, Gladys Cooper, Jeremy Brett, Theodore Bikel, Mona Washbourne, Isobel Elsom, John Holland",Snobbish phonetics Professor Henry Higgins agrees to a wager that he can make flower girl Eliza Doolittle presentable in high society.,7.8,84812,"$17,000,000","$72,560,711","$72,661,442",95.0,326.0,94.0
5,1964,1965,Best Director - Motion Picture,George Cukor,My Fair Lady,tt0058385,My Fair Lady,My Fair Lady,1964,23/03/1965,"Drama, Family, Musical",170,USA,English,George Cukor,"Alan Jay Lerner, George Bernard Shaw",Warner Bros.,"Audrey Hepburn, Rex Harrison, Stanley Holloway, Wilfrid Hyde-White, Gladys Cooper, Jeremy Brett, Theodore Bikel, Mona Washbourne, Isobel Elsom, John Holland",Snobbish phonetics Professor Henry Higgins agrees to a wager that he can make flower girl Eliza Doolittle presentable in high society.,7.8,84812,"$17,000,000","$72,560,711","$72,661,442",95.0,326.0,94.0
6,1964,1965,Actress In A Leading Role - Musical Or Comedy,Julie Andrews,Mary Poppins,tt0058331,Mary Poppins,Mary Poppins,1964,2/10/1965,"Comedy, Family, Fantasy",139,USA,English,Robert Stevenson,"Bill Walsh, Don DaGradi",Walt Disney Productions,"Julie Andrews, Dick Van Dyke, David Tomlinson, Glynis Johns, Hermione Baddeley, Reta Shaw, Karen Dotrice, Matthew Garber, Elsa Lanchester, Arthur Treacher, Reginald Owen, Ed Wynn, Jane Darwell, Arthur Malet, James Logan","In turn of the century London, a magical nanny employs music and adventure to help two neglected children become closer to their father.",7.8,154320,"$6,000,000","$102,272,727","$103,082,283",88.0,331.0,160.0
7,1968,1969,Actress In A Leading Role - Musical Or Comedy,Barbra Streisand,Funny Girl,tt0062994,Funny Girl,Funny Girl,1968,13/02/1969,"Biography, Comedy, Drama",151,USA,English,William Wyler,"Isobel Lennart, Isobel Lennart",Columbia Pictures,"Barbra Streisand, Omar Sharif, Kay Medford, Anne Francis, Walter Pidgeon, Lee Allen, Mae Questel, Gerald Mohr, Frank Faylen, Mittie Lawrence, Gertrude Flynn, Penny Santon, John Harmon, Thordis Brandt, Bettina Brenna",The life of,7.4,18998,"$14,100,000","$52,223,306","$52,224,263",89.0,98.0,58.0
8,1970,1971,Best Performance by an Actress in a Motion Picture - Drama,Ali MacGraw,Love Story,tt0066011,Love Story,Love Story,1970,9/07/1971,"Drama, Romance",100,USA,English,Arthur Hiller,Erich Segal,Paramount Pictures,"Ali MacGraw, Ryan O'Neal, John Marley, Ray Milland, Russell Nype, Katharine Balfour, Sydney Walker, Robert Modica, Walker Daniels, Tommy Lee Jones, John Merensky, Andrew Duncan, Charlotte Ford, Sudie Bond, Julie Garfield",A boy and a girl from different backgrounds fall in love regardless of their upbringing - and then tragedy strikes.,6.9,29838,"$2,200,000","$106,550,690","$106,550,690",84.0,182.0,55.0
9,1970,1971,Best Director - Motion Picture,Arthur Hiller,Love Story,tt0066011,Love Story,Love Story,1970,9/07/1971,"Drama, Romance",100,USA,English,Arthur Hiller,Erich Segal,Paramount Pictures,"Ali MacGraw, Ryan O'Neal, John Marley, Ray Milland, Russell Nype, Katharine Balfour, Sydney Walker, Robert Modica, Walker Daniels, Tommy Lee Jones, John Merensky, Andrew Duncan, Charlotte Ford, Sudie Bond, Julie Garfield",A boy and a girl from different backgrounds fall in love regardless of their upbringing - and then tragedy strikes.,6.9,29838,"$2,200,000","$106,550,690","$106,550,690",84.0,182.0,55.0
10,1970,1971,Best Screenplay - Motion Picture,Erich Segal,Love Story,tt0066011,Love Story,Love Story,1970,9/07/1971,"Drama, Romance",100,USA,English,Arthur Hiller,Erich Segal,Paramount Pictures,"Ali MacGraw, Ryan O'Neal, John Marley, Ray Milland, Russell Nype, Katharine Balfour, Sydney Walker, Robert Modica, Walker Daniels, Tommy Lee Jones, John Merensky, Andrew Duncan, Charlotte Ford, Sudie Bond, Julie Garfield",A boy and a girl from different backgrounds fall in love regardless of their upbringing - and then tragedy strikes.,6.9,29838,"$2,200,000","$106,550,690","$106,550,690",84.0,182.0,55.0
11,1970,1971,Best Original Score - Motion Picture,Francis Lai,Love Story,tt0066011,Love Story,Love Story,1970,9/07/1971,"Drama, Romance",100,USA,English,Arthur Hiller,Erich Segal,Paramount Pictures,"Ali MacGraw, Ryan O'Neal, John Marley, Ray Milland, Russell Nype, Katharine Balfour, Sydney Walker, Robert Modica, Walker Daniels, Tommy Lee Jones, John Merensky, Andrew Duncan, Charlotte Ford, Sudie Bond, Julie Garfield",A boy and a girl from different backgrounds fall in love regardless of their upbringing - and then tragedy strikes.,6.9,29838,"$2,200,000","$106,550,690","$106,550,690",84.0,182.0,55.0
12,1971,1972,Best Original Score - Motion Picture,Isaac Hayes,Shaft,tt4463894,Shaft,Shaft,2019,28/06/2019,"Action, Comedy, Crime",111,USA,English,Tim Story,"Ernest Tidyman, Kenya Barris",Davis Entertainment,"Samuel L. Jackson, Jessie T. Usher, Richard Roundtree, Regina Hall, Alexandra Shipp, Matt Lauria, Titus Welliver, Method Man, Isaach De Bankolé, Avan Jogia, Luna Lauren Velez, Robbie Jones, Aaron Dominguez, Ian Casselberry, Almeera Jiwa","JJ Shaft, a cyber security expert with a degree from MIT, enlists his family's help to uncover the truth behind his best friend's untimely death.",6.4,41924,"$35,000,000","$21,360,215","$21,360,215",40.0,360.0,117.0
13,1973,1974,New Star Of The Year - Actor,Paul Le Mat,American Graffiti,tt0069704,American Graffiti,American Graffiti,1973,24/04/1974,"Comedy, Drama",110,USA,English,George Lucas,"George Lucas, Gloria Katz",Universal Pictures,"Richard Dreyfuss, Ron Howard, Paul Le Mat, Charles Martin Smith, Cindy Williams, Candy Clark, Mackenzie Phillips, Wolfman Jack, Bo Hopkins, Manuel Padilla Jr., Beau Gentry, Harrison Ford, Jim Bohan, Jana Bellan, Deby Celiz",A couple of high school grads spend one final night cruising the strip with their buddies before they go off to college.,7.4,80176,"$777,000","$115,000,000","$115,000,000",97.0,296.0,122.0
14,1975,1976,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Ann-Margret,Tommy,tt0073812,Tommy,Tommy,1975,26/03/1975,"Drama, Musical",111,UK,English,Ken Russell,"The Who, Ken Russell",Robert Stigwood Organisation Ltd.,"Oliver Reed, Ann-Margret, Roger Daltrey, Elton John, Eric Clapton, John Entwistle, Keith Moon, Paul Nicholas, Jack Nicholson, Robert Powell, Pete Townshend, Tina Turner, Arthur Brown, Victoria Russell, Ben Aris","A psychosomatically deaf, dumb and blind boy becomes a master pinball player and, subsequently, the figurehead of a cult.",6.6,18881,"$5,000,000","$34,251,525","$34,272,986",66.0,207.0,62.0
15,1975,1976,Best Original Song - Motion Picture,"I'm Easy, Keith Carradine",Nashville,tt0073440,Nashville,Nashville,1975,6/02/1976,"Comedy, Drama, Music",160,USA,English,Robert Altman,Joan Tewkesbury,ABC Entertainment,"David Arkin, Barbara Baxley, Ned Beatty, Karen Black, Ronee Blakley, Timothy Brown, Keith Carradine, Geraldine Chaplin, Robert DoQui, Shelley Duvall, Allen Garfield, Henry Gibson, Scott Glenn, Jeff Goldblum, Barbara Harris","Over the course of a few hectic days, numerous interrelated people prepare for a political convention.",7.7,23154,"$2,200,000","$9,984,123","$9,984,123",96.0,177.0,106.0
16,1980,1981,New Star Of The Year - Actress,Nastassja Kinski,Tess,tt0080009,Tess,Tess,1979,7/03/1980,"Drama, Romance",186,"UK, France",English,Roman Polanski,"Gérard Brach, Roman Polanski",Renn Productions,"John Collin, Tony Church, Nastassja Kinski, Brigid Erin Bates, Jeanne Biras, Peter Firth, John Bett, Tom Chadbon, Rosemary Martin, Geraldine Arzul, Stephanie Treille, Elodie Warnod, Ben Reeks, Jack Stephens, Leigh Lawson",A strong-willed young peasant girl attracts the affection of two men.,7.3,14866,"$12,000,000","$20,093,330","$20,101,247",82.0,84.0,68.0
17,1982,1983,Best Performance by an Actor in a Motion Picture - Drama,Ben Kingsley,Gandhi,tt0083987,Gandhi,Gandhi,1982,17/02/1983,"Biography, Drama, History",191,"UK, India",English,Richard Attenborough,John Briley,International Film Investors,"Ben Kingsley, Rohini Hattangadi, Roshan Seth, Candice Bergen, Edward Fox, John Gielgud, Trevor Howard, John Mills, Martin Sheen, Ian Charleson, Günther Maria Halmer, Athol Fugard, Saeed Jaffrey, Geraldine James, Alyque Padamsee",The life of the lawyer who became the famed leader of the Indian revolts against the British rule through his philosophy of nonviolent protest.,8.0,215222,"$22,000,000","$52,767,889","$52,767,889",79.0,300.0,108.0
18,1982,1983,Best Director - Motion Picture,Richard Attenborough,Gandhi,tt0083987,Gandhi,Gandhi,1982,17/02/1983,"Biography, Drama, History",191,"UK, India",English,Richard Attenborough,John Briley,International Film Investors,"Ben Kingsley, Rohini Hattangadi, Roshan Seth, Candice Bergen, Edward Fox, John Gielgud, Trevor Howard, John Mills, Martin Sheen, Ian Charleson, Günther Maria Halmer, Athol Fugard, Saeed Jaffrey, Geraldine James, Alyque Padamsee",The life of the lawyer who became the famed leader of the Indian revolts against the British rule through his philosophy of nonviolent protest.,8.0,215222,"$22,000,000","$52,767,889","$52,767,889",79.0,300.0,108.0
19,1982,1983,Best Screenplay - Motion Picture,John Briley,Gandhi,tt0083987,Gandhi,Gandhi,1982,17/02/1983,"Biography, Drama, History",191,"UK, India",English,Richard Attenborough,John Briley,International Film Investors,"Ben Kingsley, Rohini Hattangadi, Roshan Seth, Candice Bergen, Edward Fox, John Gielgud, Trevor Howard, John Mills, Martin Sheen, Ian Charleson, Günther Maria Halmer, Athol Fugard, Saeed Jaffrey, Geraldine James, Alyque Padamsee",The life of the lawyer who became the famed leader of the Indian revolts against the British rule through his philosophy of nonviolent protest.,8.0,215222,"$22,000,000","$52,767,889","$52,767,889",79.0,300.0,108.0
20,1982,1983,New Star Of The Year - Actor,Ben Kingsley,Gandhi,tt0083987,Gandhi,Gandhi,1982,17/02/1983,"Biography, Drama, History",191,"UK, India",English,Richard Attenborough,John Briley,International Film Investors,"Ben Kingsley, Rohini Hattangadi, Roshan Seth, Candice Bergen, Edward Fox, John Gielgud, Trevor Howard, John Mills, Martin Sheen, Ian Charleson, Günther Maria Halmer, Athol Fugard, Saeed Jaffrey, Geraldine James, Alyque Padamsee",The life of the lawyer who became the famed leader of the Indian revolts against the British rule through his philosophy of nonviolent protest.,8.0,215222,"$22,000,000","$52,767,889","$52,767,889",79.0,300.0,108.0
21,1982,1983,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Dustin Hoffman,Tootsie,tt0084805,Tootsie,Tootsie,1982,22/04/1983,"Comedy, Drama, Romance",116,USA,English,Sydney Pollack,"Don McGuire, Larry Gelbart",Columbia Pictures,"Dustin Hoffman, Jessica Lange, Teri Garr, Dabney Coleman, Charles Durning, Bill Murray, Sydney Pollack, George Gaynes, Geena Davis, Doris Belack, Ellen Foley, Peter Gatto, Lynne Thigpen, Ronald L. Schwary, Debra Mooney","Michael Dorsey, an unsuccessful actor, disguises himself as a woman in order to get a role on a trashy hospital soap.",7.4,96041,"$21,000,000","$177,200,000","$177,200,000",88.0,247.0,92.0
22,1982,1983,Best Performance by an Actress in a Supporting Role in any Motion Picture,Jessica Lange,Tootsie,tt0084805,Tootsie,Tootsie,1982,22/04/1983,"Comedy, Drama, Romance",116,USA,English,Sydney Pollack,"Don McGuire, Larry Gelbart",Columbia Pictures,"Dustin Hoffman, Jessica Lange, Teri Garr, Dabney Coleman, Charles Durning, Bill Murray, Sydney Pollack, George Gaynes, Geena Davis, Doris Belack, Ellen Foley, Peter Gatto, Lynne Thigpen, Ronald L. Schwary, Debra Mooney","Michael Dorsey, an unsuccessful actor, disguises himself as a woman in order to get a role on a trashy hospital soap.",7.4,96041,"$21,000,000","$177,200,000","$177,200,000",88.0,247.0,92.0
23,1982,1983,New Star Of The Year - Actress,Sandahl Bergman,Conan the Barbarian,tt0816462,Conan the Barbarian,Conan the Barbarian,2011,18/08/2011,"Action, Adventure, Fantasy",113,"USA, Bulgaria, Germany, India",English,Marcus Nispel,"Thomas Dean Donnelly, Joshua Oppenheimer",Lionsgate,"Jason Momoa, Stephen Lang, Rachel Nichols, Ron Perlman, Rose McGowan, Bob Sapp, Leo Howard, Steven O'Donnell, Nonso Anozie, Raad Rawi, Laila Rouass, Saïd Taghmaoui, Milton Welsh, Borislav Iliev, Nathan Jones",A vengeful barbarian warrior sets off to get his revenge on the evil warlord who attacked his village and murdered his father when he was a boy.,5.2,94170,"$90,000,000","$21,295,021","$63,523,283",36.0,369.0,320.0
24,1983,1984,Best Performance by an Actress in a Supporting Role in any Motion Picture,Cher,Silkwood,tt0086312,Silkwood,Silkwood,1983,29/03/1984,"Biography, Drama, History",131,USA,English,Mike Nichols,"Nora Ephron, Alice Arlen",ABC Motion Pictures,"Meryl Streep, Kurt Russell, Cher, Craig T. Nelson, Diana Scarwid, Fred Ward, Ron Silver, Charles Hallahan, Josef Sommer, Sudie Bond, Henderson Forsythe, E. Katherine Kerr, Bruce McGill, David Strathairn, J.C. Quinn","A worker at a plutonium processing plant is purposefully contaminated, psychologically tortured and possibly murdered to prevent her from exposing worker safety violations at the plant.",7.2,17878,"$10,000,000","$35,615,609","$35,615,609",64.0,90.0,40.0
25,1983,1984,Best Original Score - Motion Picture,Giorgio Moroder,Flashdance,tt0085549,Flashdance,Flashdance,1983,15/04/1983,"Drama, Music, Romance",95,USA,English,Adrian Lyne,"Thomas Hedley Jr., Joe Eszterhas",Paramount Pictures,"Jennifer Beals, Michael Nouri, Lilia Skala, Sunny Johnson, Kyle T. Heffner, Lee Ving, Ron Karabatsos, Belinda Bauer, Malcolm Danare, Philip Bruns, Micole Mercurio, Lucy Lee Flippin, Don Brockett, Cynthia Rhodes, Durga McBroom",A Pittsburgh woman with two jobs as a welder and an exotic dancer wants to get into ballet school.,6.2,46644,"$4,000,000","$92,921,203","$92,921,203",39.0,156.0,61.0
26,1983,1984,Best Original Song - Motion Picture,"Flashdance… What a Feeling, Giorgio Moroder, Keith Forsey, Irene Cara",Flashdance,tt0085549,Flashdance,Flashdance,1983,15/04/1983,"Drama, Music, Romance",95,USA,English,Adrian Lyne,"Thomas Hedley Jr., Joe Eszterhas",Paramount Pictures,"Jennifer Beals, Michael Nouri, Lilia Skala, Sunny Johnson, Kyle T. Heffner, Lee Ving, Ron Karabatsos, Belinda Bauer, Malcolm Danare, Philip Bruns, Micole Mercurio, Lucy Lee Flippin, Don Brockett, Cynthia Rhodes, Durga McBroom",A Pittsburgh woman with two jobs as a welder and an exotic dancer wants to get into ballet school.,6.2,46644,"$4,000,000","$92,921,203","$92,921,203",39.0,156.0,61.0
27,1986,1987,Best Original Song - Motion Picture,"Take My Breath Away, Giorgio Moroder, Tom Whitlock",Top Gun,tt0092099,Top Gun,Top Gun,1986,18/09/1986,"Action, Drama",110,USA,English,Tony Scott,"Jim Cash, Jack Epps Jr.",Paramount Pictures,"Tom Cruise, Kelly McGillis, Val Kilmer, Anthony Edwards, Tom Skerritt, Michael Ironside, John Stockwell, Barry Tubb, Rick Rossovich, Tim Robbins, Clarence Gilyard Jr., Whip Hubley, James Tolkan, Meg Ryan, Adrian Pasdar","As students at the United States Navy's elite fighter weapons school compete to be best in the class, one daring young pilot learns a few things from a civilian instructor that are not taught in the classroom.",6.9,287577,"$15,000,000","$179,800,601","$356,830,601",50.0,497.0,196.0
28,1987,1988,Best Performance by an Actress in a Motion Picture - Drama,Sally Kirkland,Anna,tt1715336,Anna,Anna,2013,24/01/2014,"Drama, Mystery, Sci-Fi",99,"Spain, USA, UK, France",English,Jorge Dorado,"Guy Holmes, Martha Holmes",The Safran Company,"Mark Strong, Saskia Reeves, Richard Dillane, Indira Varma, Noah Taylor, Alberto Ammann, Brian Cox, Molly Stein, Marc Padró, Frida Palsson, David Chevers, Bruno Sevilla, Aisha Prigann, Taissa Farmiga, Sanny van Heteren","A man with the ability to enter people's memories takes on the case of a brilliant, troubled sixteen-year-old girl to determine whether she is a sociopath or a victim of trauma.",6.5,21130,"$7,000,000","$4,288","$1,257,142",42.0,71.0,75.0
29,1987,1988,Best Performance by an Actor in a Motion Picture - Drama,Michael Douglas,Wall Street,tt0094291,Wall Street,Wall Street,1987,5/02/1988,"Crime, Drama",126,USA,English,Oliver Stone,"Stanley Weiser, Oliver Stone",Twentieth Century Fox,"Charlie Sheen, Tamara Tunie, Franklin Cover, Chuck Pfeiffer, John C. McGinley, Hal Holbrook, James Karen, Leslie Lyles, Michael Douglas, Faith Geer, Frank Adonis, John Capodice, Martin Sheen, Suzen Murakoshi, Dani Klein","A young and impatient stockbroker is willing to do anything to get to the top, including trading on illegal inside information taken through a ruthless and greedy corporate raider who takes the youth under his wing.",7.4,140858,"$15,000,000","$43,848,069","$43,848,069",56.0,237.0,118.0
30,1987,1988,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Robin Williams,"Good Morning, Vietnam",tt0093105,"Good Morning, Vietnam","Good Morning, Vietnam",1987,7/10/1988,"Biography, Comedy, Drama",121,USA,English,Barry Levinson,Mitch Markowitz,Touchstone Pictures,"Robin Williams, Forest Whitaker, Tom. T. Tran, Chintara Sukapatana, Bruno Kirby, Robert Wuhl, J.T. Walsh, Noble Willingham, Richard Edson, Juney Smith, Richard Portnow, Floyd Vivino, Cu Ba Nguyen, Dan Stanton, Don Stanton","In 1965, an unorthodox and irreverent DJ named",7.3,123551,"$13,000,000","$123,922,370","$123,922,370",67.0,157.0,69.0
31,1988,1989,Best Director - Motion Picture,Clint Eastwood,Bird,tt0094747,Bird,Bird,1988,23/09/1988,"Biography, Drama, Music",161,USA,English,Clint Eastwood,Joel Oliansky,The Malpaso Company,"Forest Whitaker, Diane Venora, Michael Zelniker, Samuel E. Wright, Keith David, Michael McGuire, James Handy, Damon Whitaker, Morgan Nagler, Arlen Dean Snyder, Sam Robards, Penelope Windust, Glenn Wright, George Orrison, Bill Cobbs","The troubled life and career of jazz musician Charlie ""Bird"" Parker (Forest Whitaker).",7.2,11174,"$9,000,000","$2,181,286","$2,181,286",78.0,40.0,31.0
32,1990,1991,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Julia Roberts,Pretty Woman,tt0100405,Pretty Woman,Pretty Woman,1990,14/08/1990,"Comedy, Romance",119,USA,English,Garry Marshall,J.F. Lawton,Touchstone Pictures,"Richard Gere, Julia Roberts, Ralph Bellamy, Jason Alexander, Laura San Giacomo, Alex Hyde-White, Amy Yasbeck, Elinor Donahue, Hector Elizondo, Judith Baldwin, Jason Randal, Bill Applebaum, Tracy Bjork, Gary Greene, Billy Gallo","A man in a legal but hurtful business needs an escort for some social events, and hires a beautiful prostitute he meets... only to fall in love.",7.0,281688,"$14,000,000","$178,406,268","$463,407,097",51.0,334.0,82.0
33,1991,1992,Best Screenplay - Motion Picture,Callie Khouri,Thelma & Louise,tt0103074,Thelma & Louise,Thelma & Louise,1991,13/09/1991,"Adventure, Crime, Drama",130,"USA, UK, France",English,Ridley Scott,Callie Khouri,Pathé Entertainment,"Susan Sarandon, Geena Davis, Harvey Keitel, Michael Madsen, Christopher McDonald, Stephen Tobolowsky, Brad Pitt, Timothy Carhart, Lucinda Jenney, Jason Beghe, Sonny Carl Davis, Shelly Desai, Ken Swofford, Carol Mansell, Stephen Polk","Two best friends set out on an adventure, but it soon turns around to a terrifying escape from being hunted by the police, as these two girls escape for the crimes they committed.",7.5,132924,"$16,500,000","$45,360,915","$45,434,805",88.0,335.0,121.0
34,1992,1993,Best Original Score - Motion Picture,Alan Menken,Aladdin,tt0103639,Aladdin,Aladdin,1992,3/12/1993,"Animation, Adventure, Comedy",90,USA,English,"Ron Clements, John Musker","Ron Clements, John Musker",Walt Disney Pictures,"Scott Weinger, Robin Williams, Linda Larkin, Jonathan Freeman, Frank Welker, Gilbert Gottfried, Douglas Seale, Charlie Adler, Jack Angel, Corey Burton, Philip L. Clarke, Jim Cummings, Jennifer Darling, Debi Derryberry, Bruce Gooch",A kindhearted street urchin and a power-hungry Grand Vizier vie for a magic lamp that has the power to make their deepest wishes come true.,8.0,363761,"$28,000,000","$217,350,219","$504,050,219",86.0,333.0,155.0
35,1992,1993,Best Original Song - Motion Picture,"A Whole New World, Alan Menken, Tim Rice",Aladdin,tt0103639,Aladdin,Aladdin,1992,3/12/1993,"Animation, Adventure, Comedy",90,USA,English,"Ron Clements, John Musker","Ron Clements, John Musker",Walt Disney Pictures,"Scott Weinger, Robin Williams, Linda Larkin, Jonathan Freeman, Frank Welker, Gilbert Gottfried, Douglas Seale, Charlie Adler, Jack Angel, Corey Burton, Philip L. Clarke, Jim Cummings, Jennifer Darling, Debi Derryberry, Bruce Gooch",A kindhearted street urchin and a power-hungry Grand Vizier vie for a magic lamp that has the power to make their deepest wishes come true.,8.0,363761,"$28,000,000","$217,350,219","$504,050,219",86.0,333.0,155.0
36,1993,1994,Best Performance by an Actor in a Motion Picture - Drama,Tom Hanks,Philadelphia,tt0107818,Philadelphia,Philadelphia,1993,4/03/1994,Drama,125,USA,English,Jonathan Demme,Ron Nyswaner,TriStar Pictures,"Tom Hanks, Denzel Washington, Roberta Maxwell, Buzz Kilman, Karen Finley, Daniel Chapman, Mark Sorensen Jr., Jeffrey Williamson, Charles Glenn, Ron Vawter, Anna Deavere Smith, Stephanie Roth Haberle, Lisa Talerico, Joanne Woodward, Jason Robards","When a man with HIV is fired by his law firm because of his condition, he hires a homophobic small time lawyer as the only willing advocate for a wrongful dismissal suit.",7.7,219688,"$26,000,000","$77,446,440","$206,678,440",66.0,302.0,85.0
37,1993,1994,Best Original Song - Motion Picture,"Streets of Philadelphia, Bruce Springsteen",Philadelphia,tt0107818,Philadelphia,Philadelphia,1993,4/03/1994,Drama,125,USA,English,Jonathan Demme,Ron Nyswaner,TriStar Pictures,"Tom Hanks, Denzel Washington, Roberta Maxwell, Buzz Kilman, Karen Finley, Daniel Chapman, Mark Sorensen Jr., Jeffrey Williamson, Charles Glenn, Ron Vawter, Anna Deavere Smith, Stephanie Roth Haberle, Lisa Talerico, Joanne Woodward, Jason Robards","When a man with HIV is fired by his law firm because of his condition, he hires a homophobic small time lawyer as the only willing advocate for a wrongful dismissal suit.",7.7,219688,"$26,000,000","$77,446,440","$206,678,440",66.0,302.0,85.0
38,1994,1995,Best Performance by an Actor in a Motion Picture - Drama,Tom Hanks,Forrest Gump,tt0109830,Forrest Gump,Forrest Gump,1994,6/10/1994,"Drama, Romance",142,USA,English,Robert Zemeckis,"Winston Groom, Eric Roth",Paramount Pictures,"Tom Hanks, Rebecca Williams, Sally Field, Michael Conner Humphreys, Harold G. Herthum, George Kelly, Bob Penny, John Randall, Sam Anderson, Margo Moorer, Ione M. Telech, Christine Seabrook, John Worsham, Peter Dobson, Siobhan Fallon Hogan","The presidencies of Kennedy and Johnson, the events of Vietnam, Watergate and other historical events unfold through the perspective of an Alabama man with an IQ of 75, whose only desire is to be reunited with his childhood sweetheart.",8.8,1755490,"$55,000,000","$330,455,270","$678,229,452",82.0,2416.0,169.0
39,1994,1995,Best Director - Motion Picture,Robert Zemeckis,Forrest Gump,tt0109830,Forrest Gump,Forrest Gump,1994,6/10/1994,"Drama, Romance",142,USA,English,Robert Zemeckis,"Winston Groom, Eric Roth",Paramount Pictures,"Tom Hanks, Rebecca Williams, Sally Field, Michael Conner Humphreys, Harold G. Herthum, George Kelly, Bob Penny, John Randall, Sam Anderson, Margo Moorer, Ione M. Telech, Christine Seabrook, John Worsham, Peter Dobson, Siobhan Fallon Hogan","The presidencies of Kennedy and Johnson, the events of Vietnam, Watergate and other historical events unfold through the perspective of an Alabama man with an IQ of 75, whose only desire is to be reunited with his childhood sweetheart.",8.8,1755490,"$55,000,000","$330,455,270","$678,229,452",82.0,2416.0,169.0
40,1994,1995,Best Performance by an Actor in a Supporting Role in any Motion Picture,Martin Landau,Ed Wood,tt0109707,Ed Wood,Ed Wood,1994,27/05/1995,"Biography, Comedy, Drama",127,USA,English,Tim Burton,"Rudolph Grey, Scott Alexander",Touchstone Pictures,"Johnny Depp, Martin Landau, Sarah Jessica Parker, Patricia Arquette, Jeffrey Jones, G.D. Spradlin, Vincent D'Onofrio, Bill Murray, Mike Starr, Max Casella, Brent Hinkley, Lisa Marie, George 'The Animal' Steele, Juliet Landau, Clive Rosengren",Ambitious but troubled movie director,7.8,162933,"$18,000,000","$5,887,457","$5,887,457",70.0,464.0,155.0
