,year_film,year_award,category,nominee,film
1330,2016,2017,Best Director - Motion Picture,Damien Chazelle,La La Land
1331,2016,2017,Best Screenplay - Motion Picture,Damien Chazelle,La La Land
1332,2016,2017,Best Motion Picture - Foreign Language,Elle,"France, Paul Verhoeven"
1333,2016,2017,Best Original Score - Motion Picture,Justin Hurwitz,La La Land
1334,2016,2017,Best Original Song - Motion Picture,"""City of Stars"", Justin Hurwitz, Benj Pasek, Justin Paul",La La Land
1335,2016,2017,Best Performance by an Actress in a Limited Series or a Motion Picture Made for Television,Sarah Paulson,The People v. O.J. Simpson: American Crime Story
1336,2016,2017,Best Performance by an Actor in a Limited Series or a Motion Picture Made for Television,Tom Hiddleston,The Night Manager
1337,2016,2017,Best Performance by an Actress In A Television Series - Drama,Claire Foy,"Crown, The "
1338,2016,2017,Best Performance by an Actor In A Television Series - Drama,Billy Bob Thornton,Goliath
1339,2016,2017,Best Performance by an Actress in a Television Series - Musical or Comedy,Tracee Ellis Ross,Black-ish
1340,2016,2017,Best Performance by an Actor in a Television Series - Musical or Comedy,Donald Glover,Atlanta
1341,2016,2017,"Best Performance by an Actress in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Olivia Colman,The Night Manager
1342,2016,2017,"Best Performance by an Actor in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Hugh Laurie,The Night Manager
1343,2017,2018,Best Performance by an Actress in a Motion Picture - Drama,Frances McDormand,"Three Billboards Outside Ebbing, Missouri"
1344,2017,2018,Best Performance by an Actor in a Motion Picture - Drama,Gary Oldman,Darkest Hour
1345,2017,2018,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Saoirse Ronan,Lady Bird
1346,2017,2018,Best Performance by an Actor in a Motion Picture - Musical or Comedy,James Franco,"Disaster Artist, The "
1347,2017,2018,Best Performance by an Actress in a Supporting Role in any Motion Picture,Allison Janney,"I, Tonya"
1348,2017,2018,Best Performance by an Actor in a Supporting Role in any Motion Picture,Sam Rockwell,"Three Billboards Outside Ebbing, Missouri"
1349,2017,2018,Best Director - Motion Picture,Guillermo del Toro,The Shape of Water
1350,2017,2018,Best Screenplay - Motion Picture,Martin McDonagh,"Three Billboards Outside Ebbing, Missouri"
1351,2017,2018,Best Motion Picture - Foreign Language,In The Fade,"Germany, Fatih Akin"
1352,2017,2018,Best Original Score - Motion Picture,Alexandre Desplat,The Shape of Water
1353,2017,2018,Best Original Song - Motion Picture,"""This Is Me"", Justin Paul, Benj Pasek",The Greatest Showman
1354,2017,2018,Best Performance by an Actress in a Limited Series or a Motion Picture Made for Television,Nicole Kidman,Big Little Lies
1355,2017,2018,Best Performance by an Actor in a Limited Series or a Motion Picture Made for Television,Ewan McGregor,Fargo
1356,2017,2018,Best Performance by an Actress In A Television Series - Drama,Elisabeth Moss,"Handmaid's Tale, The "
1357,2017,2018,Best Performance by an Actor In A Television Series - Drama,Sterling K. Brown,This Is Us
1358,2017,2018,Best Performance by an Actress in a Television Series - Musical or Comedy,Rachel Brosnahan,"Marvelous Mrs. Maisel, The"
1359,2017,2018,Best Performance by an Actor in a Television Series - Musical or Comedy,Aziz Ansari,Master of None
1360,2017,2018,"Best Performance by an Actress in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Laura Dern,Big Little Lies
1361,2017,2018,"Best Performance by an Actor in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Alexander Skarsgård,Big Little Lies
1362,2018,2019,Best Performance by an Actress in a Motion Picture - Drama,Glenn Close,"Wife, The"
1363,2018,2019,Best Performance by an Actor in a Motion Picture - Drama,Rami Malek,Bohemian Rhapsody
1364,2018,2019,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Olivia Colman,"Favourite, The"
1365,2018,2019,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Christian Bale,Vice
1366,2018,2019,Best Performance by an Actress in a Supporting Role in any Motion Picture,Regina King,If Beale Street Could Talk
1367,2018,2019,Best Performance by an Actor in a Supporting Role in any Motion Picture,Mahershala Ali,Green Book
1368,2018,2019,Best Director - Motion Picture,Alfonso Cuarón,Roma
1369,2018,2019,Best Screenplay - Motion Picture,"Nick Vallelonga, Brian Currie, Peter Farrelly",Green Book
1370,2018,2019,Best Motion Picture - Foreign Language,Roma,"Mexico, Alfonso Cuarón"
1371,2018,2019,Best Original Score - Motion Picture,Justin Hurwitz,First Man
1372,2018,2019,Best Original Song - Motion Picture,"Shallow, Lady Gaga, Mark Ronson, Anthony Rossomando, Andrew Wyatt","Star Is Born, A (2018)"
1373,2018,2019,Best Performance by an Actress in a Limited Series or a Motion Picture Made for Television,Patricia Arquette,Escape at Dannemora
1374,2018,2019,Best Performance by an Actor in a Limited Series or a Motion Picture Made for Television,Darren Criss,"Assassination of Gianni Versace: American Crime Story, The"
1375,2018,2019,Best Performance by an Actress In A Television Series - Drama,Sandra Oh,Killing Eve
1376,2018,2019,Best Performance by an Actor In A Television Series - Drama,Richard Madden,Bodyguard
1377,2018,2019,Best Performance by an Actress in a Television Series - Musical or Comedy,Rachel Brosnahan,"Marvelous Mrs. Maisel, The"
1378,2018,2019,Best Performance by an Actor in a Television Series - Musical or Comedy,Michael Douglas,"Kominsky Method, The"
1379,2018,2019,"Best Performance by an Actress in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Patricia Clarkson,Sharp Objects
1380,2018,2019,"Best Performance by an Actor in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Ben Whishaw,"Very English Scandal, A"
1381,2019,2020,Best Performance by an Actress in a Motion Picture - Drama,Renée Zellweger,Judy
1382,2019,2020,Best Performance by an Actor in a Motion Picture - Drama,Joaquin Phoenix,Joker
1383,2019,2020,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Awkwafina,"Farewell, The"
1384,2019,2020,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Taron Egerton,Rocketman
1385,2019,2020,Best Performance by an Actress in a Supporting Role in any Motion Picture,Laura Dern,Marriage Story
1386,2019,2020,Best Performance by an Actor in a Supporting Role in any Motion Picture,Brad Pitt,Once Upon a Time...in Hollywood
1387,2019,2020,Best Director - Motion Picture,Sam Mendes,1917
1388,2019,2020,Best Screenplay - Motion Picture,Quentin Tarantino,Once Upon a Time...in Hollywood
1389,2019,2020,Best Motion Picture - Foreign Language,Parasite,"South Korea, Bong Joon Ho"
1390,2019,2020,Best Original Score - Motion Picture,Hildur Guðnadóttir,Joker
1391,2019,2020,Best Original Song - Motion Picture,"I'm Gonna Love Me Again, Elton John, Bernie Taupin",Rocketman
1392,2019,2020,Best Performance by an Actress in a Limited Series or a Motion Picture Made for Television,Michelle Williams,Fosse/Verdon
1393,2019,2020,Best Performance by an Actor in a Limited Series or a Motion Picture Made for Television,Russell Crowe,"Loudest Voice, The"
1394,2019,2020,Best Performance by an Actress In A Television Series - Drama,Olivia Colman,"Crown, The "
1395,2019,2020,Best Performance by an Actor In A Television Series - Drama,Brian Cox,Succession
1396,2019,2020,Best Performance by an Actress in a Television Series - Musical or Comedy,Phoebe Waller-Bridge,Fleabag
1397,2019,2020,Best Performance by an Actor in a Television Series - Musical or Comedy,Ramy Youssef,Ramy
1398,2019,2020,"Best Performance by an Actress in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Patricia Arquette,"Act, The"
1399,2019,2020,"Best Performance by an Actor in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Stellan Skarsgård,Chernobyl
