,year_film,year_award,category,nominee,film
926,1995,1996,Best Performance by an Actor in a Supporting Role in any Motion Picture,Brad Pitt,Twelve Monkeys
927,1995,1996,Best Director - Motion Picture,Mel Gibson,Braveheart
928,1995,1996,Best Screenplay - Motion Picture,Emma Thompson,Sense and Sensibility
929,1995,1996,Best Motion Picture - Foreign Language,Les Misérables,"France, Claude Lelouch"
930,1995,1996,Best Original Score - Motion Picture,Maurice Jarre,A Walk in the Clouds
931,1995,1996,Best Original Song - Motion Picture,"Colors of the Wind, Alan Menken, Stephen Schwartz",Pocahontas
932,1995,1996,Best Performance by an Actress in a Limited Series or a Motion Picture Made for Television,Jessica Lange,A Streetcar Named Desire (1995)
933,1995,1996,Best Performance by an Actor in a Limited Series or a Motion Picture Made for Television,Gary Sinise,Truman
934,1995,1996,Best Performance by an Actress In A Television Series - Drama,Jane Seymour,"Dr. Quinn, Medicine Woman"
935,1995,1996,Best Performance by an Actor In A Television Series - Drama,Jimmy Smits,NYPD Blue
936,1995,1996,Best Performance by an Actress in a Television Series - Musical or Comedy,Cybill Shepherd,Cybill
937,1995,1996,Best Performance by an Actor in a Television Series - Musical or Comedy,Kelsey Grammer,Frasier
938,1995,1996,"Best Performance by an Actress in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Shirley Knight,Indictment: The McMartin Trial
939,1995,1996,"Best Performance by an Actor in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Donald Sutherland,Citizen X
940,1996,1997,Best Performance by an Actress in a Motion Picture - Drama,Brenda Blethyn,Secrets & Lies
941,1996,1997,Best Performance by an Actor in a Motion Picture - Drama,Geoffrey Rush,Shine
942,1996,1997,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Madonna,Evita
943,1996,1997,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Tom Cruise,Jerry Maguire
944,1996,1997,Best Performance by an Actress in a Supporting Role in any Motion Picture,Lauren Bacall,The Mirror Has Two Faces
945,1996,1997,Best Performance by an Actor in a Supporting Role in any Motion Picture,Edward Norton,Primal Fear
946,1996,1997,Best Director - Motion Picture,Milos Forman,"People vs. Larry Flynt, The"
947,1996,1997,Best Screenplay - Motion Picture,Scott Alexander,"People vs. Larry Flynt, The"
948,1996,1997,Best Motion Picture - Foreign Language,Kolya,"Czech Republic, Jan Sverák"
949,1996,1997,Best Original Score - Motion Picture,Gabriel Yared,The English Patient
950,1996,1997,Best Original Song - Motion Picture,"""You Must Love Me"", Andrew Lloyd Webber, Tim Rice",Evita
951,1996,1997,Best Performance by an Actress in a Limited Series or a Motion Picture Made for Television,Helen Mirren,Losing Chase
952,1996,1997,Best Performance by an Actor in a Limited Series or a Motion Picture Made for Television,Alan Rickman,Rasputin
953,1996,1997,Best Performance by an Actress In A Television Series - Drama,Gillian Anderson,"X-Files, The"
954,1996,1997,Best Performance by an Actor In A Television Series - Drama,David Duchovny,"X-Files, The"
955,1996,1997,Best Performance by an Actress in a Television Series - Musical or Comedy,Helen Hunt,Mad About You
956,1996,1997,Best Performance by an Actor in a Television Series - Musical or Comedy,John Lithgow,3rd Rock From The Sun
957,1996,1997,"Best Performance by an Actress in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Kathy Bates,"Late Shift, The"
958,1996,1997,"Best Performance by an Actor in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Ian McKellen,Rasputin
959,1997,1998,Best Performance by an Actress in a Motion Picture - Drama,Judi Dench,Mrs. Brown
960,1997,1998,Best Performance by an Actor in a Motion Picture - Drama,Peter Fonda,Ulee's Gold
961,1997,1998,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Helen Hunt,As Good as It Gets
962,1997,1998,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Jack Nicholson,As Good as It Gets
963,1997,1998,Best Performance by an Actress in a Supporting Role in any Motion Picture,Kim Basinger,L.A. Confidential
964,1997,1998,Best Performance by an Actor in a Supporting Role in any Motion Picture,Burt Reynolds,Boogie Nights
965,1997,1998,Best Director - Motion Picture,James Cameron,Titanic
966,1997,1998,Best Screenplay - Motion Picture,"Ben Affleck, Matt Damon",Good Will Hunting
