,movie_title,nominee,category,year_released,year_awarded,win
6473,Entourage,Kevin Dillon,"Best Performance by an Actor in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",2007,2008,False
6474,Longford,Andy Serkis,"Best Performance by an Actor in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",2007,2008,False
6475,Boston Legal,William Shatner,"Best Performance by an Actor in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",2007,2008,False
6476,Dirty Sexy Money,Donald Sutherland,"Best Performance by an Actor in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",2007,2008,False
6477,,Slumdog Millionaire,Best Motion Picture - Drama,2008,2009,True
6478,,The Curious Case of Benjamin Button,Best Motion Picture - Drama,2008,2009,False
6479,,Frost/Nixon,Best Motion Picture - Drama,2008,2009,False
6480,,"Reader, The",Best Motion Picture - Drama,2008,2009,False
6481,,Revolutionary Road,Best Motion Picture - Drama,2008,2009,False
6482,,Vicky Cristina Barcelona,Best Motion Picture - Musical or Comedy,2008,2009,True
6483,,Burn After Reading,Best Motion Picture - Musical or Comedy,2008,2009,False
6484,,Happy-Go-Lucky,Best Motion Picture - Musical or Comedy,2008,2009,False
6485,,In Bruges,Best Motion Picture - Musical or Comedy,2008,2009,False
6486,,Mamma Mia!,Best Motion Picture - Musical or Comedy,2008,2009,False
6487,Revolutionary Road,Kate Winslet,Best Performance by an Actress in a Motion Picture - Drama,2008,2009,True
6488,Doubt,Meryl Streep,Best Performance by an Actress in a Motion Picture - Drama,2008,2009,False
6489,Rachel Getting Married,Anne Hathaway,Best Performance by an Actress in a Motion Picture - Drama,2008,2009,False
6490,Changeling,Angelina Jolie,Best Performance by an Actress in a Motion Picture - Drama,2008,2009,False
6491,I've Loved You So Long,Kristin Scott Thomas,Best Performance by an Actress in a Motion Picture - Drama,2008,2009,False
6492,The Wrestler,Mickey Rourke,Best Performance by an Actor in a Motion Picture - Drama,2008,2009,True
6493,The Curious Case of Benjamin Button,Brad Pitt,Best Performance by an Actor in a Motion Picture - Drama,2008,2009,False
6494,Revolutionary Road,Leonardo DiCaprio,Best Performance by an Actor in a Motion Picture - Drama,2008,2009,False
6495,Frost/Nixon,Frank Langella,Best Performance by an Actor in a Motion Picture - Drama,2008,2009,False
6496,Milk,Sean Penn,Best Performance by an Actor in a Motion Picture - Drama,2008,2009,False
6497,Happy-Go-Lucky,Sally Hawkins,Best Performance by an Actress in a Motion Picture - Musical or Comedy,2008,2009,True
6498,Vicky Cristina Barcelona,Rebecca Hall,Best Performance by an Actress in a Motion Picture - Musical or Comedy,2008,2009,False
6499,Burn After Reading,Frances McDormand,Best Performance by an Actress in a Motion Picture - Musical or Comedy,2008,2009,False
6500,Mamma Mia!,Meryl Streep,Best Performance by an Actress in a Motion Picture - Musical or Comedy,2008,2009,False
6501,Last Chance Harvey,Emma Thompson,Best Performance by an Actress in a Motion Picture - Musical or Comedy,2008,2009,False
6502,In Bruges,Colin Farrell,Best Performance by an Actor in a Motion Picture - Musical or Comedy,2008,2009,True
6503,Vicky Cristina Barcelona,Javier Bardem,Best Performance by an Actor in a Motion Picture - Musical or Comedy,2008,2009,False
6504,Pineapple Express,James Franco,Best Performance by an Actor in a Motion Picture - Musical or Comedy,2008,2009,False
6505,In Bruges,Brendan Gleeson,Best Performance by an Actor in a Motion Picture - Musical or Comedy,2008,2009,False
6506,Last Chance Harvey,Dustin Hoffman,Best Performance by an Actor in a Motion Picture - Musical or Comedy,2008,2009,False
6507,"Reader, The",Kate Winslet,Best Performance by an Actress in a Supporting Role in any Motion Picture,2008,2009,True
6508,Vicky Cristina Barcelona,Penélope Cruz,Best Performance by an Actress in a Supporting Role in any Motion Picture,2008,2009,False
6509,Doubt,Viola Davis,Best Performance by an Actress in a Supporting Role in any Motion Picture,2008,2009,False
6510,The Wrestler,Marisa Tomei,Best Performance by an Actress in a Supporting Role in any Motion Picture,2008,2009,False
6511,Doubt,Amy Adams,Best Performance by an Actress in a Supporting Role in any Motion Picture,2008,2009,False
6512,"Dark Knight, The",Heath Ledger,Best Performance by an Actor in a Supporting Role in any Motion Picture,2008,2009,True
6513,Tropic Thunder,Tom Cruise,Best Performance by an Actor in a Supporting Role in any Motion Picture,2008,2009,False
6514,Tropic Thunder,Robert Downey Jr.,Best Performance by an Actor in a Supporting Role in any Motion Picture,2008,2009,False
6515,"Duchess, The",Ralph Fiennes,Best Performance by an Actor in a Supporting Role in any Motion Picture,2008,2009,False
6516,Doubt,Philip Seymour Hoffman,Best Performance by an Actor in a Supporting Role in any Motion Picture,2008,2009,False
6517,Slumdog Millionaire,Danny Boyle,Best Director - Motion Picture,2008,2009,True
6518,"Reader, The",Stephen Daldry,Best Director - Motion Picture,2008,2009,False
6519,The Curious Case of Benjamin Button,David Fincher,Best Director - Motion Picture,2008,2009,False
6520,Frost/Nixon,Ron Howard,Best Director - Motion Picture,2008,2009,False
6521,Revolutionary Road,Sam Mendes,Best Director - Motion Picture,2008,2009,False
6522,Slumdog Millionaire,Simon Beaufoy,Best Screenplay - Motion Picture,2008,2009,True
6523,The Curious Case of Benjamin Button,Eric Roth,Best Screenplay - Motion Picture,2008,2009,False
6524,Doubt,John Patrick Shanley,Best Screenplay - Motion Picture,2008,2009,False
6525,"Reader, The",David Hare,Best Screenplay - Motion Picture,2008,2009,False
6526,Frost/Nixon,Peter Morgan,Best Screenplay - Motion Picture,2008,2009,False
6527,,Wall-E,Best Motion Picture - Animated,2008,2009,True
6528,,Bolt,Best Motion Picture - Animated,2008,2009,False
6529,,Kung Fu Panda,Best Motion Picture - Animated,2008,2009,False
6530,"Israel, Ari Folman",Waltz with Bashir,Best Motion Picture - Foreign Language,2008,2009,True
6531,"Germany, Uli Edel",The Baader Meinhof Complex,Best Motion Picture - Foreign Language,2008,2009,False
6532,"Sweden, Denmark, Jan Troell",Everlasting Moments,Best Motion Picture - Foreign Language,2008,2009,False
6533,"Italy, Matteo Garrone",Gomorrah,Best Motion Picture - Foreign Language,2008,2009,False
6534,"France, Philippe Claudel",I've Loved You So Long,Best Motion Picture - Foreign Language,2008,2009,False
6535,Slumdog Millionaire,A. R. Rahman,Best Original Score - Motion Picture,2008,2009,True
6536,The Curious Case of Benjamin Button,Alexandre Desplat,Best Original Score - Motion Picture,2008,2009,False
6537,Changeling,Clint Eastwood,Best Original Score - Motion Picture,2008,2009,False
6538,Defiance,James Newton Howard,Best Original Score - Motion Picture,2008,2009,False
6539,Frost/Nixon,Hans Zimmer,Best Original Score - Motion Picture,2008,2009,False
6540,The Wrestler,"The Wrestler, Bruce Springsteen",Best Original Song - Motion Picture,2008,2009,True
6541,Gran Torino,"Gran Torino, Clint Eastwood, Jamie Cullum, Kyle Eastwood, Michael Stevens",Best Original Song - Motion Picture,2008,2009,False
6542,Bolt,"""I Thought I Lost You"", Miley Cyrus, Jeffrey Steele",Best Original Song - Motion Picture,2008,2009,False
6543,Cadillac Records,"""Once In A Lifetime"", Beyoncé, Scott McFarnon, Ian Dench, James Dring, Jody Street, Amanda Ghost",Best Original Song - Motion Picture,2008,2009,False
6544,Wall-E,"""Down To Earth"", Peter Gabriel, Thomas Newman",Best Original Song - Motion Picture,2008,2009,False
6545,,Mad Men,Best Television Series - Drama,2008,2009,True
6546,,Dexter,Best Television Series - Drama,2008,2009,False
6547,,House,Best Television Series - Drama,2008,2009,False
6548,,In Treatment,Best Television Series - Drama,2008,2009,False
6549,,True Blood,Best Television Series - Drama,2008,2009,False
6550,,30 Rock,Best Television Series - Musical or Comedy,2008,2009,True
6551,,Californication,Best Television Series - Musical or Comedy,2008,2009,False
6552,,Entourage,Best Television Series - Musical or Comedy,2008,2009,False
6553,,"Office, The",Best Television Series - Musical or Comedy,2008,2009,False
6554,,Weeds,Best Television Series - Musical or Comedy,2008,2009,False
6555,,John Adams,Best Television Limited Series or Motion Picture Made for Television,2008,2009,True
6556,,A Raisin In The Sun,Best Television Limited Series or Motion Picture Made for Television,2008,2009,False
6557,,Bernard And Doris,Best Television Limited Series or Motion Picture Made for Television,2008,2009,False
6558,,Cranford,Best Television Limited Series or Motion Picture Made for Television,2008,2009,False
6559,,Recount,Best Television Limited Series or Motion Picture Made for Television,2008,2009,False
6560,John Adams,Laura Linney,Best Performance by an Actress in a Limited Series or a Motion Picture Made for Television,2008,2009,True
6561,Bernard And Doris,Susan Sarandon,Best Performance by an Actress in a Limited Series or a Motion Picture Made for Television,2008,2009,False
6562,Cranford,Judi Dench,Best Performance by an Actress in a Limited Series or a Motion Picture Made for Television,2008,2009,False
6563,"American Crime, An",Catherine Keener,Best Performance by an Actress in a Limited Series or a Motion Picture Made for Television,2008,2009,False
6564,Coco Chanel,Shirley MacLaine,Best Performance by an Actress in a Limited Series or a Motion Picture Made for Television,2008,2009,False
6565,John Adams,Paul Giamatti,Best Performance by an Actor in a Limited Series or a Motion Picture Made for Television,2008,2009,True
6566,Bernard And Doris,Ralph Fiennes,Best Performance by an Actor in a Limited Series or a Motion Picture Made for Television,2008,2009,False
6567,Recount,Kevin Spacey,Best Performance by an Actor in a Limited Series or a Motion Picture Made for Television,2008,2009,False
6568,24,Kiefer Sutherland,Best Performance by an Actor in a Limited Series or a Motion Picture Made for Television,2008,2009,False
6569,Recount,Tom Wilkinson,Best Performance by an Actor in a Limited Series or a Motion Picture Made for Television,2008,2009,False
6570,True Blood,Anna Paquin,Best Performance by an Actress In A Television Series - Drama,2008,2009,True
6571,"Closer, The",Kyra Sedgwick,Best Performance by an Actress In A Television Series - Drama,2008,2009,False
6572,Brothers & Sisters,Sally Field,Best Performance by an Actress In A Television Series - Drama,2008,2009,False
6573,Law & Order,Mariska Hargitay,Best Performance by an Actress In A Television Series - Drama,2008,2009,False
6574,Mad Men,January Jones,Best Performance by an Actress In A Television Series - Drama,2008,2009,False
6575,In Treatment,Gabriel Byrne,Best Performance by an Actor In A Television Series - Drama,2008,2009,True
6576,Dexter,Michael C. Hall,Best Performance by an Actor In A Television Series - Drama,2008,2009,False
6577,Mad Men,Jon Hamm,Best Performance by an Actor In A Television Series - Drama,2008,2009,False
6578,House,Hugh Laurie,Best Performance by an Actor In A Television Series - Drama,2008,2009,False
6579,"Tudors, The",Jonathan Rhys Meyers,Best Performance by an Actor In A Television Series - Drama,2008,2009,False
6580,30 Rock,Tina Fey,Best Performance by an Actress in a Television Series - Musical or Comedy,2008,2009,True
6581,Ugly Betty,America Ferrera,Best Performance by an Actress in a Television Series - Musical or Comedy,2008,2009,False
6582,"Starter Wife, The",Debra Messing,Best Performance by an Actress in a Television Series - Musical or Comedy,2008,2009,False
6583,Weeds,Mary-Louise Parker,Best Performance by an Actress in a Television Series - Musical or Comedy,2008,2009,False
6584,Samantha Who?,Christina Applegate,Best Performance by an Actress in a Television Series - Musical or Comedy,2008,2009,False
6585,30 Rock,Alec Baldwin,Best Performance by an Actor in a Television Series - Musical or Comedy,2008,2009,True
6586,"Office, The",Steve Carell,Best Performance by an Actor in a Television Series - Musical or Comedy,2008,2009,False
6587,Entourage,Kevin Connolly,Best Performance by an Actor in a Television Series - Musical or Comedy,2008,2009,False
6588,Californication,David Duchovny,Best Performance by an Actor in a Television Series - Musical or Comedy,2008,2009,False
6589,Monk,Tony Shalhoub,Best Performance by an Actor in a Television Series - Musical or Comedy,2008,2009,False
6590,Recount,Laura Dern,"Best Performance by an Actress in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",2008,2009,True
6591,In Treatment,Melissa George,"Best Performance by an Actress in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",2008,2009,False
6592,Brothers & Sisters,Rachel Griffiths,"Best Performance by an Actress in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",2008,2009,False
6593,In Treatment,Dianne Wiest,"Best Performance by an Actress in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",2008,2009,False
6594,Cranford,Eileen Atkins,"Best Performance by an Actress in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",2008,2009,False
6595,John Adams,Tom Wilkinson,"Best Performance by an Actor in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",2008,2009,True
6596,How I Met Your Mother,Neil Patrick Harris,"Best Performance by an Actor in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",2008,2009,False
6597,Recount,Denis Leary,"Best Performance by an Actor in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",2008,2009,False
6598,Entourage,Jeremy Piven,"Best Performance by an Actor in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",2008,2009,False
6599,In Treatment,Blair Underwood,"Best Performance by an Actor in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",2008,2009,False
6600,,Steven Spielberg,Cecil B. deMille Award,2008,2009,False
6601,,Avatar,Best Motion Picture - Drama,2009,2010,True
6602,,"Hurt Locker, The",Best Motion Picture - Drama,2009,2010,False
6603,,Inglourious Basterds,Best Motion Picture - Drama,2009,2010,False
6604,,Precious: Based On The Novel Push By Sapphire,Best Motion Picture - Drama,2009,2010,False
6605,,Up In The Air,Best Motion Picture - Drama,2009,2010,False
6606,,"Hangover, The",Best Motion Picture - Musical or Comedy,2009,2010,True
6607,,(500) Days of Summer,Best Motion Picture - Musical or Comedy,2009,2010,False
6608,,It's Complicated,Best Motion Picture - Musical or Comedy,2009,2010,False
6609,,Julie & Julia,Best Motion Picture - Musical or Comedy,2009,2010,False
6610,,Nine,Best Motion Picture - Musical or Comedy,2009,2010,False
6611,"Blind Side, The",Sandra Bullock,Best Performance by an Actress in a Motion Picture - Drama,2009,2010,True
6612,"Young Victoria, The",Emily Blunt,Best Performance by an Actress in a Motion Picture - Drama,2009,2010,False
6613,"Last Station, The",Helen Mirren,Best Performance by an Actress in a Motion Picture - Drama,2009,2010,False
6614,"Education, An",Carey Mulligan,Best Performance by an Actress in a Motion Picture - Drama,2009,2010,False
6615,Precious: Based On The Novel Push By Sapphire,Gabourey Sidibe,Best Performance by an Actress in a Motion Picture - Drama,2009,2010,False
6616,Crazy Heart,Jeff Bridges,Best Performance by an Actor in a Motion Picture - Drama,2009,2010,True
