,imdb_id,movie_title,year_released,genre,country,avg_vote,worldwide_gross_income,reviews_from_users,reviews_from_critics
74146,tt4246758,Anton Tchékhov 1890,2015,"Biography, Drama, History",France,6.2,"$21,462",5.0,7.0
74148,tt4246818,Popoz,2015,"Action, Comedy","Netherlands, Netherlands Antilles",5.1,"$809,684",1.0,3.0
74150,tt4246854,Coconut Hero,2015,"Comedy, Drama","Germany, Canada",6.3,"$12,058",7.0,26.0
74151,tt4246856,Wildflower,2014,"Drama, Thriller",USA,5.3,"$68,577",23.0,2.0
74154,tt4247144,Bon Bini Holland,2015,Comedy,Netherlands,5.5,"$4,920,623",4.0,5.0
74158,tt4247492,I demoni,2015,Drama,Canada,6.7,"$1,755",5.0,33.0
74164,tt4250566,Nebbia in agosto,2016,"Drama, War","Germany, Austria",7.2,"$72,895",8.0,36.0
74168,tt4253116,Wo lai zi Niu Yue,2016,"Drama, Family","Singapore, Malaysia, Hong Kong",7.4,"$287,895",4.0,2.0
74169,tt4253360,Himalaya,2015,"Adventure, Biography, Drama",South Korea,6.4,"$50,544,493",8.0,16.0
74173,tt4254584,Kicks,2016,"Adventure, Drama",USA,6.4,"$150,191",18.0,27.0
74174,tt4255110,Contracted: Phase II,2015,"Drama, Horror, Thriller",USA,5.1,"$180,213",32.0,51.0
74177,tt4255304,The Void - Il vuoto,2016,"Horror, Mystery, Sci-Fi",Canada,5.8,"$368,372",288.0,215.0
74178,tt4255554,Wan wu sheng zhang,2015,"Drama, Romance",China,5.1,"$23,620,000",1.0,2.0
74179,tt4255626,Toute première fois,2015,"Comedy, Romance",France,5.9,"$2,659,946",14.0,13.0
74182,tt4257926,Miracoli dal cielo,2016,"Biography, Drama, Family",USA,7.1,"$73,983,003",118.0,71.0
74184,tt4257950,Russell Madness,2015,Family,USA,4.2,"$43,288",7.0,5.0
74185,tt4258292,Yennai Arindhaal,2015,"Action, Thriller",India,7.3,"$841,040",43.0,8.0
74188,tt4261326,2307: Winter's Dream,2016,Sci-Fi,USA,3.8,"$5,078",40.0,34.0
74193,tt4262980,Shin Godzilla,2016,"Action, Adventure, Drama",Japan,6.7,"$78,053,145",197.0,190.0
74195,tt4263482,The Witch - Vuoi ascoltare una favola?,2015,"Drama, Horror, Mystery","Canada, USA",6.9,"$40,423,945",997.0,562.0
74204,tt4265508,Amateur Night,2016,Comedy,"USA, Mexico",5.1,"$62,933",21.0,6.0
74208,tt4266076,La notte ha divorato il mondo,2018,"Drama, Horror, Thriller",France,6.0,"$95,208",150.0,88.0
74215,tt4270516,Grandma,2015,"Comedy, Drama",USA,6.7,"$7,205,073",78.0,145.0
74218,tt4271820,OK Kanmani,2015,Romance,India,7.4,"$81,340",48.0,9.0
74222,tt4272866,The Boy and the Beast,2015,"Animation, Action, Adventure",Japan,7.7,"$49,768,644",44.0,165.0
74224,tt4273292,Sotto l'ombra,2016,"Drama, Horror, Thriller","UK, Jordan, Qatar, Iran",6.9,"$133,324",108.0,181.0
74225,tt4273562,Yu-Gi-Oh!: The Dark Side of Dimensions,2016,"Animation, Adventure, Drama",Japan,7.0,"$7,445,186",19.0,5.0
74226,tt4273886,Byuti insaideu,2015,"Drama, Romance",South Korea,7.4,"$14,301,869",21.0,16.0
74229,tt4275910,La felicità è un sistema complesso,2015,Comedy,Italy,6.1,"$851,896",3.0,8.0
74231,tt4276752,I cacciatori di tesori - La leggenda perduta,2015,"Action, Adventure, Drama",China,6.0,"$259,368,448",18.0,27.0
74232,tt4276820,The Founder,2016,"Biography, Drama","USA, Greece",7.2,"$24,121,245",291.0,313.0
74239,tt4280056,"Rico, Oskar und das Herzgebreche",2015,"Adventure, Comedy, Family",Germany,6.4,"$3,022,227",1.0,17.0
74250,tt4285198,Under Electric Clouds,2015,"Drama, Sci-Fi","Russia, Ukraine, Poland",6.3,"$40,896",3.0,42.0
74251,tt4285496,El abrazo de la serpiente,2015,"Adventure, Drama","Colombia, Venezuela, Argentina",7.9,"$3,217,176",73.0,215.0
74257,tt4287320,The Circle,2017,"Drama, Sci-Fi, Thriller","United Arab Emirates, USA, France",5.3,"$40,656,399",563.0,251.0
74264,tt4287852,Haha to kuraseba,2015,"Drama, Fantasy",Japan,6.5,"$14,489,842",2.0,7.0
74266,tt4288636,James White,2015,Drama,USA,7.1,"$101,368",21.0,96.0
74270,tt4289340,Nihon no ichiban nagai hi ketteiban,2015,"Drama, History",Japan,6.6,"$10,032,914",2.0,9.0
74276,tt4291590,Évolution,2015,"Drama, Horror, Mystery","France, Belgium, Spain",5.9,"$55,985",48.0,97.0
74277,tt4291600,Lady Macbeth,2016,"Drama, Romance",UK,6.8,"$5,401,447",98.0,224.0
74278,tt4291700,Prey - La preda,2016,"Comedy, Horror, Thriller",Netherlands,5.1,"$6,820,723",13.0,31.0
74279,tt4292420,Ville-Marie,2015,Drama,Canada,6.0,"$4,432",1.0,21.0
74281,tt4292596,Gli eroi del male,2015,"Crime, Drama, Thriller",Spain,6.2,"$9,164",7.0,7.0
74284,tt4294052,L'attacco dei giganti: il film - Parte II - Le ali della libertà,2015,"Action, Adventure, Fantasy","Japan, Singapore",4.8,"$15,187,789",20.0,34.0
74286,tt4294968,The Forlorned,2017,Horror,USA,5.3,"$13,522",3.0,14.0
74287,tt4294970,I Believe,2017,Family,USA,5.4,"$47,375",22.0,1.0
74293,tt4296800,Ladrones,2015,Comedy,"USA, Dominican Republic",5.1,"$3,504,414",7.0,4.0
74295,tt4298958,Le ricette della signora Toku,2015,Drama,"Japan, France, Germany",7.4,"$4,728,350",28.0,132.0
74297,tt4299300,Mein Blind Date mit dem Leben,2017,"Biography, Comedy, Drama",Germany,7.1,"$5,276,805",9.0,30.0
74299,tt4299774,Strangeways Here We Come,2018,"Comedy, Crime",UK,4.5,"$3,473",6.0,4.0
74300,tt4300480,Veloce come il vento,2016,"Drama, Sport",Italy,7.3,"$2,412,312",8.0,32.0
74304,tt4302562,L'odeur de la mandarine,2015,"Drama, Romance",France,6.4,"$376,499",2.0,4.0
74306,tt4302788,O Caseiro,2016,Thriller,Brazil,6.1,"$25,928",2.0,15.0
74307,tt4302938,Kubo e la spada magica,2016,"Animation, Action, Adventure","USA, Japan",7.8,"$76,249,438",287.0,307.0
74308,tt4302956,Kis Kisko Pyaar Karoon,2015,Comedy,India,5.7,"$6,355,432",29.0,14.0
74310,tt4303340,I Am Not a Serial Killer,2016,"Drama, Horror, Thriller","Ireland, UK, USA",6.2,"$21,148",71.0,126.0
74314,tt4305148,Lovesong,2016,"Drama, Romance",USA,6.3,"$10,626",22.0,29.0
74321,tt4306308,Sevimli Tehlikeli,2015,"Comedy, Romance",Turkey,6.1,"$3,597,444",1.0,4.0
